id,name,s2006e2021bao,s2006e2021bah,s2006e2021bal,s2006e2021yrs
0050,元大台灣50,8.6,8.2,9.1,16
0051,元大中型100,5.8,5.3,6.4,16
0052,富邦科技,10.1,9.6,10.7,16
0053,元大電子,7.9,7.3,8.7,15
0054,元大台商50,4.2,3.6,4.9,15
0055,元大MSCI金融,3.0,2.5,3.8,15
0056,元大高股息,5.5,5.1,6.1,15
0057,富邦摩台,7.6,7.1,8.3,14
0058,富邦發達,4.4,3.8,5.0,12
0059,富邦金融,4.6,3.9,5.6,12
0061,元大寶滬深,2.0,1.4,2.6,13
006201,元大富櫃50,3.1,2.4,3.8,11
006203,元大MSCI台灣,9.3,8.9,9.7,11
006204,永豐臺灣加權,9.3,8.9,9.5,11
006205,富邦上証,5.2,4.6,5.6,11
006206,元大上證50,7.3,6.7,7.8,10
006207,FH滬深,6.5,5.9,7.0,10
006208,富邦台50,12.2,11.7,12.5,10
00625K,富邦上証+R,6.8,6.1,7.1,6
00631L,元大台灣50正2,23.0,22.0,23.9,8
00632R,元大台灣50反1,-11.7,-12.0,-10.7,8
00633L,富邦上証正2,7.0,5.7,8.8,8
00634R,富邦上証反1,-12.0,-12.7,-10.7,8
00635U,元大S&P黃金,2.2,1.7,2.5,7
00636,國泰中國A50,5.9,5.2,6.7,7
00636K,國泰中國A50+U,7.0,6.2,7.7,5
00637L,元大滬深300正2,4.8,3.2,7.0,7
00638R,元大滬深300反1,-10.7,-11.3,65.7,7
00639,富邦深100,2.0,0.9,3.2,7
00640L,富邦日本正2,5.7,4.9,7.2,7
00641R,富邦日本反1,-7.7,-8.2,-7.0,7
00642U,元大S&P石油,-6.9,-7.7,-5.4,7
00643,群益深証中小,-0.1,-0.9,0.8,7
00643K,群益深証中小+R,3.8,3.2,4.4,6
00645,富邦日本,3.5,3.1,4.1,7
00646,元大S&P500,7.6,7.2,8.0,7
00647L,元大S&P500正2,14.7,14.0,15.5,7
00648R,元大S&P500反1,-10.7,-11.1,-9.8,7
00649,FH香港,8.5,7.6,8.7,4
00650L,FH香港正2,10.4,9.4,11.1,6
00651R,FH香港反1,-9.6,-10.3,-8.7,6
00652,富邦印度,4.2,3.7,4.8,6
00653L,富邦印度正2,8.6,7.8,9.7,6
00654R,富邦印度反1,-9.6,-10.1,-8.8,6
00655L,國泰中國A50正2,14.5,13.2,15.5,6
00656R,國泰中國A50反1,-13.0,-13.4,-11.5,6
00657,國泰日經225,9.3,8.7,9.8,6
00657K,國泰日經225+U,7.2,6.6,7.8,5
00658L,國泰日本正2,11.1,10.2,11.8,5
00659R,國泰日本反1,-9.1,-9.4,-8.1,5
00660,元大歐洲50,5.9,5.5,6.4,6
00661,元大日經225,9.7,9.2,10.2,6
00662,富邦NASDAQ,15.1,14.3,15.4,6
00663L,國泰臺灣加權正2,28.3,27.2,28.9,6
00664R,國泰臺灣加權反1,-14.2,-14.6,-13.1,6
00665L,富邦琤肭磪囓2,2.9,2.0,3.7,6
00666R,富邦琤肭磪齯1,-7.6,-8.2,-6.8,6
00668,國泰美國道瓊,7.1,6.7,7.6,6
00668K,國泰美國道瓊+U,7.2,6.7,7.8,5
00669R,國泰美國道瓊反1,-11.4,-11.9,-10.5,6
00670L,富邦NASDAQ正2,30.8,29.3,31.6,5
00671R,富邦NASDAQ反1,-18.0,-18.3,-16.3,5
00672L,元大S&P原油正2,-48.0,-48.6,-36.5,5
00673R,元大S&P原油反1,0.1,-1.2,1.2,6
00674R,元大S&P黃金反1,-5.3,-5.7,-4.7,6
00675L,富邦臺灣加權正2,25.9,24.8,26.7,6
00676R,富邦臺灣加權反1,-13.4,-13.7,-12.4,6
00677U,富邦VIX,-23.7,-26.7,-19.8,6
00678,群益NBI生技,6.7,5.9,7.0,5
00679B,元大美債20年,0.3,-0.1,0.6,5
00680L,元大美債20正2,1.4,0.7,2.1,5
00681R,元大美債20反1,-5.2,-5.5,-4.5,5
00682U,元大美元指數,-1.2,-1.4,-1.0,5
00683L,元大美元指數正2,-2.1,-2.5,-1.6,5
00684R,元大美元指數反1,-0.8,-1.0,-0.5,5
00685L,群益臺灣加權正2,28.9,27.6,29.9,5
00686R,群益臺灣加權反1,-14.6,-15.0,-13.5,5
00687B,國泰20年美債,0.7,0.3,1.0,5
00688L,國泰20年美債正2,0.9,0.2,1.5,5
00689R,國泰20年美債反1,-4.1,-4.4,-3.5,5
00690,兆豐藍籌30,12.3,11.6,12.7,5
00691R,兆豐藍籌30反一,-14.2,-14.6,-13.1,4
00692,富邦公司治理,13.8,13.2,14.3,5
00693U,街口S&P黃豆,1.9,1.4,2.6,5
00694B,富邦美債1-3年,-1.3,-1.4,-1.1,5
00695B,富邦美債7-10年,-1.1,-1.3,-0.9,5
00696B,富邦美債20年,0.4,0.0,0.7,5
00697B,元大美債7-10,-0.0,-0.2,0.1,5
00700,富邦恆生國企,0.7,0.2,1.2,5
00701,國泰股利精選30,4.4,4.1,4.9,5
00702,國泰標普低波高息,-0.2,-0.4,0.5,5
00703,台新MSCI中國,5.2,4.3,5.7,5
00706L,元大S&P日圓正2,-3.6,-3.9,-3.2,5
00707R,元大S&P日圓反1,-0.1,-0.3,0.4,5
00708L,元大S&P黃金正2,3.9,3.0,4.7,5
00709,富邦歐洲,2.4,2.0,3.1,5
00710B,FH彭博高收益債,1.6,1.4,1.9,5
00711B,FH彭博新興債,2.5,2.3,2.9,5
00712,FH富時不動產,-3.7,-4.0,-2.2,5
00713,元大台灣高息低波,6.4,6.0,6.8,5
00714,群益道瓊美國地產,0.9,0.5,1.5,5
00715L,街口S&P布蘭特油正2,-18.0,-19.9,-13.3,5
00716R,華頓S&P布蘭特反1,-6.1,-6.4,-4.6,3
00717,富邦美國特別股,-1.3,-1.5,-0.8,5
00718B,富邦中國政策債,-0.3,-0.5,-0.2,4
00719B,元大美債1-3,0.7,0.5,0.8,4
00720B,元大投資級公司債,2.4,2.1,2.9,4
00721B,元大中國債3-5,-0.1,-0.2,0.1,4
00722B,群益15年IG電信債,1.9,1.6,2.3,5
00723B,群益15年IG科技債,0.3,0.0,0.7,5
00724B,群益10年IG金融債,0.6,0.3,1.1,5
00725B,國泰投資級公司債,1.6,1.2,2.1,4
00726B,國泰5Y+新興債,1.1,0.8,1.5,4
00727B,國泰1-5Y高收債,-0.9,-1.1,-0.6,4
00728,第一金工業30,12.8,12.1,13.7,4
00730,富邦臺灣優質高息,3.3,3.0,4.0,4
00731,FH富時高息低波,5.2,4.8,5.7,4
00732,國泰RMB短期報酬,0.1,-0.0,0.2,4
00733,富邦臺灣中小,11.1,10.2,12.2,4
00734B,台新JPM新興債,-1.1,-1.3,-0.3,4
00735,國泰臺韓科技,16.0,15.1,16.9,4
00736,國泰新興市場,5.3,4.9,6.1,4
00737,國泰AI+ROBO,14.4,13.3,15.3,4
00738U,元大道瓊白銀,7.0,6.2,8.2,4
00739,元大MSCI,9.8,9.0,10.4,4
00740B,富邦全球投等債,3.1,2.7,3.5,4
00741B,富邦全球高收債,-0.9,-1.1,-0.5,4
00742,新光內需收益,4.2,3.8,4.6,4
00743,國泰中國A150,9.8,9.0,10.4,4
00744B,國泰中國政金債5+,0.8,0.7,0.9,4
00745B,富邦中政債0-1,0.7,0.6,0.8,4
00746B,富邦A級公司債,1.9,1.5,2.3,4
00747B,FH中國政策債,0.6,0.4,0.7,4
00748B,凱基中國債3-10,0.8,0.7,0.9,4
00749B,凱基新興債10+,1.4,1.1,2.0,4
00750B,凱基科技債10+,1.5,1.2,1.9,4
00751B,元大AAA至A公司債,1.5,1.1,1.9,4
00752,中信中國50,11.5,10.6,11.9,4
00753L,中信中國50正2,16.0,14.6,17.0,4
00754B,群益AAA-AA公司債,2.4,1.9,2.7,4
00755B,群益15年IG公用債,1.4,1.1,1.8,4
00756B,群益15年EM主權債,2.2,1.8,2.6,4
00757,統一FANG+,24.8,23.5,25.5,4
00758B,FH能源債,-0.3,-0.6,0.3,4
00759B,FH製藥債,2.8,2.3,3.0,4
00760B,FH新興企業債,1.7,1.4,2.2,4
00761B,國泰A級公司債,2.5,2.1,2.9,4
00762,元大全球AI,22.0,20.8,22.6,3
00763U,街口道瓊銅,7.9,7.3,8.6,4
00764B,群益25年美債,0.6,0.0,0.8,4
00765B,群益中國政金債,0.2,0.1,0.2,4
00766L,台新MSCI中國正2,10.5,9.6,12.9,2
00767,FH美國金融股,-7.4,-8.0,-5.8,2
00768B,FH20年美債,2.9,2.2,3.2,3
00769B,FH中國信用債,0.3,0.1,0.4,2
00770,國泰北美科技,18.6,17.7,19.2,3
00771,元大US高息特別股,0.1,-0.1,1.2,3
00772B,中信高評級公司債,1.8,1.3,2.3,3
00773B,中信優先金融債,2.0,1.5,2.6,3
00774B,新光中國政金綠債,0.9,0.8,1.1,3
00774C,新光中政金綠債+R,4.6,4.5,4.9,2
00775B,新光投等債15+,2.2,1.7,2.7,3
00776,新光ICE美國權值,2.6,2.1,3.6,2
00777B,凱基AAA至A公司債,1.2,0.7,1.7,3
00778B,凱基金融債20+,2.0,1.5,2.7,3
00779B,凱基美債25+,0.7,-0.1,0.9,3
00780B,國泰A級金融債,0.7,0.4,1.0,3
00781B,國泰A級科技債,0.8,0.3,1.2,3
00782B,國泰A級公用債,1.0,0.4,1.3,3
00783,富邦中証500,2.9,2.3,3.5,3
00784B,富邦中國投等債,-1.3,-1.5,-1.1,3
00785B,富邦金融投等債,1.5,1.1,2.1,3
00786B,元大10年IG銀行債,0.7,0.3,1.4,3
00787B,元大10年IG醫療債,1.6,1.1,2.0,3
00788B,元大10年IG電能債,0.0,-0.4,0.6,3
00789B,FH公司債A3,1.3,0.9,1.8,3
00790B,FH次順位IG金融債,1.3,0.9,1.8,3
00791B,FH美元信用債1-5Y,-1.3,-1.5,-1.1,3
00792B,群益A級公司債,0.7,0.2,1.2,3
00793B,群益AAA-A醫療債,0.6,0.1,1.0,3
00794B,群益7+中國政金債,-0.2,-0.4,-0.1,3
00795B,中信美國公債20年,-0.1,-0.8,0.1,3
00796B,中信中國債7-10,-0.3,-0.4,-0.2,3
00797B,中信中國美元IG債,1.7,1.2,1.8,2
00798B,國泰中企A級債7+,3.4,2.8,3.5,2
00799B,國泰A級醫療債,1.1,0.6,1.4,3
008201,BP上證50,3.3,2.6,4.6,12
00830,國泰費城半導體,17.9,16.9,19.1,3
00831B,新光美債1-3,-2.0,-2.1,-1.8,3
00832B,新光美債20+,0.4,-0.3,0.6,3
00833B,第一金美債20+,4.7,3.7,4.7,2
00834B,第一金金融債10+,0.9,0.4,1.4,3
00835B,第一金科技債10+,6.3,5.6,6.8,2
00836B,永豐10年A公司債,-1.4,-1.8,-0.8,3
00837B,永豐15年金融債,-3.0,-3.8,-2.1,2
00838B,永豐7-10年中國債,-0.8,-0.9,-0.6,3
00839B,凱基醫療保健債,0.3,-0.1,0.7,3
00840B,凱基IG精選15+,-1.3,-1.6,-0.7,3
00841B,凱基AAA-AA公司債,-1.2,-1.6,-0.7,3
00842B,台新美元銀行債,-0.4,-0.7,0.3,3
00843B,台新中國政策債,-0.5,-0.6,-0.4,3
00844B,新光15年IG金融債,-1.0,-1.4,-0.4,3
00845B,富邦新興投等債,-2.1,-2.2,-1.6,3
00846B,富邦歐洲銀行債,-1.5,-1.7,-1.1,3
00847B,中信美國市政債,-4.5,-5.0,-4.2,3
00848B,中信新興亞洲債,-1.5,-1.7,-1.1,3
00849B,中信EM主權債0-5,-1.9,-1.9,-1.7,3
00850,元大臺灣ESG永續,18.0,17.2,18.7,3
00851,台新全球AI,12.8,12.0,13.5,3
00852L,國泰美國道瓊正2,7.5,6.9,10.4,3
00853B,統一美債10年Aa-A,-4.8,-5.1,-4.2,3
00854B,富邦全球保險債,2.6,2.2,3.2,2
00855B,富邦全球能源債,-1.6,-1.8,-0.6,2
00856B,永豐1-3年美公債,-2.0,-2.3,-1.8,3
00857B,永豐20年美公債,-3.5,-4.0,-3.2,3
00858,永豐美國500大,7.0,6.5,7.7,3
00859B,群益0-1年美債,-2.4,-2.4,-2.2,3
00860B,群益1-5年IG債,-1.4,-1.5,-1.2,3
00861,元大全球未來通訊,9.4,8.9,10.2,3
00862B,中信投資級公司債,-1.6,-1.8,-1.0,3
00863B,中信全球電信債,-1.6,-1.8,-0.2,3
00864B,中信美國公債0-1,-1.8,-1.9,-1.7,3
00865B,國泰US短期公債,-1.9,-2.0,-1.7,3
00866,新光SHILLER,2.9,2.7,3.8,3
00867B,新光A-BBB電信債,-1.6,-1.9,-1.2,3
00868B,FT1-3年美公債,-2.0,-2.1,-1.9,3
00869B,FT10-25年公司債,-1.8,-2.0,-1.3,3
00870B,元大15年EM主權債,-2.5,-2.8,-1.6,2
