,id,name,id_name_yrs,s2006e2007bao,s2006e2008bao,s2006e2009bao,s2006e2010bao,s2006e2011bao,s2006e2012bao,s2006e2013bao,s2006e2014bao,s2006e2015bao,s2006e2016bao,s2006e2017bao,s2006e2018bao,s2006e2019bao,s2006e2020bao,s2006e2021bao,s2006e2022bao,s2006e2023bao,s2006e2024bao,s2006e2024yrs
2245,6640,均華,6640-均華-8,,,,,,,,,,,,-2.3,11.1,21.6,34.2,22.0,28.6,52.9,7.0
1119,3147,大綜,3147-大綜-8,,,,,,,,,,,,6.1,44.4,16.8,28.8,24.1,32.5,41.0,7.0
2272,6669,緯穎,6669-緯穎-7,,,,,,,,,,,,,73.4,39.2,45.7,21.8,38.4,38.8,6.0
2097,6442,光聖,6442-光聖-11,,,,,,,,,-23.9,-11.5,-9.1,-8.0,-4.4,-6.8,-2.6,0.5,6.3,31.7,10.0
2031,6238,勝麗,6238-勝麗-15,0.7,-11.5,44.3,32.7,16.9,5.9,24.6,32.2,49.7,46.3,45.6,35.8,33.9,31.3,31.3,31.3,31.3,31.3,15.0
2816,9906,欣巴巴,9906-欣巴巴-20,3.2,0.0,1.4,0.7,47.8,60.0,68.2,54.3,34.9,35.8,29.9,24.9,27.7,31.1,32.4,27.9,27.6,31.0,19.0
1724,5274,信驊,5274-信驊-13,,,,,,,11.2,32.9,37.7,38.1,40.3,28.0,32.3,37.0,43.1,29.0,33.1,30.4,12.0
1599,4763,材料-KY,4763-材料-KY-11,,,,,,,,,-37.0,-4.9,11.3,2.4,2.3,2.2,2.2,9.8,30.1,28.5,10.0
1476,4303,信立,4303-信立-20,10.5,2.9,36.5,27.1,18.5,25.2,22.7,26.4,21.2,24.0,42.2,35.4,32.0,30.6,29.3,23.2,23.9,28.4,19.0
1721,5269,祥碩,5269-祥碩-14,,,,,,-6.7,-27.2,36.2,32.7,30.9,32.2,32.5,32.2,40.8,37.7,22.0,30.2,28.3,13.0
2145,6515,穎崴,6515-穎崴-5,,,,,,,,,,,,,,,-2.8,-1.8,26.0,28.1,4.0
2270,6667,信紘科,6667-信紘科-8,,,,,,,,,,,,13.8,42.7,24.3,28.7,11.1,22.8,27.2,7.0
2267,6664,群翊,6664-群翊-8,,,,,,,,,,,,-14.5,10.3,8.5,13.8,16.0,22.5,26.9,7.0
467,1519,華城,1519-華城-20,141.4,50.4,43.8,26.5,10.6,7.8,12.7,9.3,8.3,9.2,9.9,8.2,10.9,14.2,11.2,12.2,23.9,26.6,19.0
730,2348,海悅,2348-海悅-20,91.2,-34.3,-14.4,-10.6,-10.2,33.4,35.5,29.6,20.4,14.1,16.1,20.2,20.7,22.8,24.1,19.7,21.3,26.3,19.0
143,00757,統一FANG+,00757-統一FANG+-8,,,,,,,,,,,,-6.6,11.8,33.6,27.5,10.8,21.7,26.0,7.0
1751,5314,世紀,5314-世紀-20,-20.3,-39.8,1.9,-3.1,-0.9,-2.0,-6.1,-2.2,-7.0,-7.4,-7.1,-7.6,-3.6,-3.0,-2.8,3.4,12.3,25.9,19.0
2076,6409,旭隼,6409-旭隼-12,,,,,,,,68.0,74.1,42.3,35.3,28.5,30.3,34.6,34.7,30.0,27.8,25.8,11.0
1286,3533,嘉澤,3533-嘉澤-19,5.4,-28.1,73.5,46.2,16.8,18.0,10.6,21.0,16.3,11.9,18.6,17.3,19.7,21.5,23.7,22.6,23.0,25.7,18.0
717,2327,國巨,2327-國巨-20,-8.6,-31.7,0.0,4.4,-6.3,-2.9,-0.6,18.3,17.3,16.7,33.6,31.4,32.7,31.7,28.8,26.4,26.6,25.6,19.0
760,2383,台光電,2383-台光電-20,-6.1,-25.7,21.3,23.5,10.8,16.9,13.2,18.2,20.4,23.7,22.8,17.1,22.1,21.7,24.6,19.6,23.8,25.5,19.0
2751,8913,全銓,8913-全銓-15,13.0,-0.5,13.1,26.5,9.6,12.6,15.1,14.8,11.3,16.6,31.9,35.6,27.4,25.1,25.1,25.1,25.1,25.1,15.0
728,2345,智邦,2345-智邦-20,-3.7,-21.9,-1.4,5.6,-0.3,3.3,3.5,3.7,11.1,15.0,21.0,18.6,21.7,25.3,22.0,19.8,23.9,25.0,19.0
1114,3131,弘塑,3131-弘塑-15,,,,,-25.3,43.9,40.9,19.9,24.4,16.9,13.5,5.5,17.2,19.5,17.0,10.9,18.7,25.0,14.0
1550,4571,鈞興-KY,4571-鈞興-KY-7,,,,,,,,,,,,,-20.7,-6.4,7.1,-2.5,2.2,24.6,6.0
2112,6469,大樹,6469-大樹-10,,,,,,,,,,3.9,14.4,0.5,12.2,16.7,36.4,39.7,39.9,24.2,9.0
1178,3293,鈊象,3293-鈊象-20,40.9,6.6,28.6,11.1,14.5,3.8,-4.2,7.4,5.0,8.9,6.2,5.5,12.9,17.2,16.5,16.5,19.0,24.2,19.0
869,2540,愛山林,2540-愛山林-20,-5.0,61.7,45.2,38.7,25.9,16.5,52.1,38.5,31.2,23.9,20.0,20.9,18.4,24.6,23.7,25.9,25.3,24.1,19.0
2341,6752,叡揚,6752-叡揚-6,,,,,,,,,,,,,,4.3,1.8,6.3,31.3,24.0,5.0
1306,3563,牧德,3563-牧德-15,,,,,37.9,22.6,39.7,23.9,14.7,19.6,38.8,43.0,37.6,30.7,26.9,17.0,20.4,23.9,14.0
868,2539,櫻花建,2539-櫻花建-20,-22.3,48.0,51.8,33.9,24.6,23.8,29.3,28.4,24.2,24.0,24.1,22.6,22.4,22.4,21.9,21.4,23.8,23.8,19.0
453,1476,儒鴻,1476-儒鴻-20,20.6,-5.0,18.9,30.6,30.2,42.8,57.7,49.6,48.4,39.3,34.3,32.8,31.5,29.5,30.6,26.7,25.9,23.8,19.0
1046,3017,奇鋐,3017-奇鋐-20,16.5,-6.1,28.3,19.1,7.1,3.5,6.6,8.2,9.2,7.2,9.0,6.4,9.9,12.6,13.9,14.7,21.0,23.6,19.0
774,2404,漢唐,2404-漢唐-20,9.6,-17.8,10.9,18.5,7.6,7.0,12.3,8.9,12.2,13.2,14.4,17.4,23.0,22.4,19.9,19.0,20.6,23.4,19.0
2248,6643,M31,6643-M31-7,,,,,,,,,,,,,21.3,11.4,13.7,14.1,33.6,23.3,6.0
2238,6629,泰金-KY,6629-泰金-KY-7,,,,,,,,,,,,,40.3,34.6,22.0,9.0,10.9,23.1,6.0
1370,3680,家登,3680-家登-15,,,,,12.0,60.4,31.1,20.2,3.6,4.9,6.8,3.2,24.2,26.8,25.9,21.3,22.5,22.9,14.0
845,2496,卓越,2496-卓越-20,4.5,-2.7,16.2,24.6,12.8,24.3,15.1,13.1,20.3,40.4,42.6,32.8,26.8,24.7,22.4,20.9,21.7,22.5,19.0
2318,6728,上洋,6728-上洋-6,,,,,,,,,,,,,,16.7,42.0,36.4,31.9,22.4,5.0
1328,3597,映興,3597-映興-6,,,,,,,,,,,,,,24.3,47.6,16.1,11.0,22.3,5.0
2015,6221,晉泰,6221-晉泰-20,48.4,3.8,21.2,23.9,20.5,19.6,21.7,19.4,18.0,17.3,16.1,15.9,19.4,18.9,20.7,20.6,22.1,22.0,19.0
1886,5904,寶雅,5904-寶雅-20,-2.0,5.2,14.5,16.3,17.2,28.8,39.8,38.4,37.2,35.8,32.4,28.0,28.4,29.0,24.8,24.4,23.8,21.9,19.0
1354,3653,健策,3653-健策-17,,,45.2,16.3,-13.5,-8.1,-2.1,-2.3,-8.4,-5.6,-0.8,1.2,11.9,11.3,14.6,13.6,18.0,21.8,16.0
1602,4766,南寶,4766-南寶-8,,,,,,,,,,,,25.0,30.8,21.9,14.0,10.1,23.3,21.8,7.0
148,00762,元大全球AI,00762-元大全球AI-7,,,,,,,,,,,,,31.7,33.5,31.1,9.4,19.0,21.6,6.0
188,00830,國泰費城半導體,00830-國泰費城半導體-7,,,,,,,,,,,,,16.6,28.4,31.7,12.2,21.1,21.5,6.0
2545,8028,昇陽半導體,8028-昇陽半導體-8,,,,,,,,,,,,-2.9,37.5,14.8,12.2,10.1,6.6,21.4,7.0
2155,6530,創威,6530-創威-8,,,,,,,,,,,,-27.7,-0.9,-0.6,6.9,4.2,16.2,21.4,7.0
2095,6438,迅得,6438-迅得-9,,,,,,,,,,,47.4,11.2,17.5,14.2,19.8,11.1,13.3,21.3,8.0
354,1231,聯華食,1231-聯華食-20,13.7,2.5,16.0,29.7,29.6,26.1,24.3,18.6,15.3,15.3,15.4,15.3,15.7,15.9,18.4,18.4,18.9,21.2,19.0
1036,3004,豐達科,3004-豐達科-20,24.2,47.0,46.1,61.5,54.2,53.7,43.4,42.1,37.8,32.4,29.6,28.7,29.9,24.1,22.3,22.1,22.5,21.2,19.0
421,1438,三地開發,1438-三地開發-20,33.1,-5.6,10.7,24.4,8.5,16.4,20.3,20.6,14.1,11.1,12.6,14.5,17.6,15.3,20.9,19.6,18.8,20.7,19.0
253,00895,富邦未來車,00895-富邦未來車-5,,,,,,,,,,,,,,,21.2,-12.8,10.3,20.6,4.0
943,2745,五福,2745-五福-8,,,,,,,,,,,,-30.4,-11.6,-14.3,-4.7,7.7,21.2,20.5,7.0
156,00770,國泰北美科技,00770-國泰北美科技-7,,,,,,,,,,,,,26.6,28.8,27.4,9.0,17.2,20.5,6.0
419,1436,華友聯,1436-華友聯-20,19.7,0.1,5.2,5.2,10.0,33.3,27.5,22.2,19.5,18.0,16.5,15.0,16.3,15.1,16.7,16.2,18.0,20.2,19.0
345,1215,卜蜂,1215-卜蜂-20,82.3,38.4,38.3,36.7,23.1,20.5,18.6,23.3,20.9,26.5,28.0,24.0,24.1,23.4,22.8,21.8,21.9,20.1,19.0
744,2364,倫飛,2364-倫飛-20,-2.0,-24.8,6.2,4.2,-3.2,-3.8,-3.2,-2.0,-5.2,-4.2,-4.0,0.9,-4.1,-0.6,10.6,21.2,22.1,20.1,19.0
1772,5386,青雲,5386-青雲-19,108.6,47.1,17.9,50.9,32.2,26.9,22.0,19.2,19.3,25.1,19.0,20.5,17.7,25.1,19.4,15.8,18.3,20.1,18.0
1688,5213,亞昕,5213-亞昕-20,104.9,27.1,75.4,70.4,50.1,44.0,40.1,32.1,25.9,22.2,23.3,20.4,21.1,18.4,19.9,19.2,21.6,20.0,19.0
947,2752,豆府,2752-豆府-7,,,,,,,,,,,,,12.5,33.4,18.1,23.8,27.3,19.9,6.0
740,2359,所羅門,2359-所羅門-20,74.5,2.6,28.2,18.4,8.2,9.8,9.8,13.3,9.1,8.5,12.0,9.1,10.2,8.6,9.6,9.6,11.6,19.8,19.0
1747,5306,桂盟,5306-桂盟-20,14.5,-9.8,12.8,9.2,33.0,44.0,54.4,46.4,41.1,35.0,33.1,27.8,26.5,28.6,27.9,23.7,21.7,19.7,19.0
823,2467,志聖,2467-志聖-20,12.8,-11.1,14.4,17.9,7.3,8.6,9.7,10.2,3.3,7.8,9.7,8.7,8.7,10.8,12.8,11.2,13.1,19.6,19.0
950,2755,揚秦,2755-揚秦-6,,,,,,,,,,,,,,-12.9,-8.0,12.7,27.4,19.4,5.0
1225,3413,京鼎,3413-京鼎-11,,,,,,,,,24.1,18.4,53.3,23.6,26.6,25.0,24.4,15.9,16.7,19.3,10.0
2125,6488,環球晶,6488-環球晶-11,,,,,,,,,24.2,38.4,86.8,45.8,45.0,51.6,47.0,27.6,28.1,19.3,10.0
1653,4967,十銓,4967-十銓-7,,,,,,,,,,,,,13.4,38.7,22.6,3.1,26.8,19.2,6.0
1237,3443,創意,3443-創意-20,108.9,33.5,37.5,20.4,12.8,11.1,5.7,7.9,3.8,5.3,15.7,12.5,12.7,14.4,17.2,16.6,22.1,19.2,19.0
2725,8467,波力-KY,8467-波力-KY-11,,,,,,,,,-8.9,-31.1,-20.4,-10.5,4.2,-1.4,-3.4,2.1,11.3,19.2,10.0
1777,5403,中菲,5403-中菲-20,10.8,6.4,29.1,22.7,15.2,14.9,16.1,13.4,11.8,14.8,16.0,14.4,15.3,16.7,18.1,17.3,19.8,19.0,19.0
2160,6535,順藥,6535-順藥-10,,,,,,,,,,-30.5,-31.2,-19.7,-11.6,-8.4,-4.6,-4.0,3.5,19.0,9.0
463,1514,亞力,1514-亞力-20,29.4,-4.0,29.3,15.8,4.5,6.7,8.9,6.6,5.1,6.5,8.0,8.3,10.5,13.0,12.5,12.8,18.2,19.0,19.0
1367,3675,德微,3675-德微-14,,,,,,-36.7,-25.2,-8.0,-7.2,2.2,12.7,6.1,7.5,13.0,27.2,17.9,22.5,18.9,13.0
883,2597,潤弘,2597-潤弘-16,,,,-9.2,-27.3,-3.6,10.3,10.9,2.8,2.7,3.6,6.7,9.2,9.4,17.7,16.8,15.3,18.8,15.0
1661,4979,華星光,4979-華星光-15,,,,,18.9,65.7,36.0,38.7,38.1,15.4,12.8,4.2,5.5,5.3,1.9,7.7,18.0,18.7,14.0
873,2546,根基,2546-根基-20,37.0,16.6,44.5,40.1,18.5,14.3,16.2,14.3,12.9,13.4,14.6,16.3,18.2,19.3,18.4,18.3,20.5,18.6,19.0
683,2230,泰茂,2230-泰茂-13,,,,,,,4.0,-10.3,-8.1,-4.7,-4.9,-5.8,-3.3,-1.2,-0.9,7.3,25.1,18.6,12.0
1318,3583,辛耘,3583-辛耘-13,,,,,,,-6.6,2.9,8.7,1.1,8.6,-1.5,3.0,2.6,8.7,3.6,14.1,18.6,12.0
886,2603,長榮,2603-長榮-20,24.5,-5.2,-0.2,11.0,-0.7,1.2,1.6,3.7,-1.9,-3.2,0.3,-1.7,-1.2,7.0,15.3,15.9,16.6,18.6,19.0
2732,8478,東哥遊艇,8478-東哥遊艇-9,,,,,,,,,,,33.0,-12.6,-6.0,3.2,23.9,33.2,32.6,18.5,8.0
119,00733,富邦臺灣中小,00733-富邦臺灣中小-8,,,,,,,,,,,,-23.4,6.4,14.3,24.3,14.3,22.0,18.4,7.0
525,1615,大山,1615-大山-20,42.9,14.7,26.6,26.5,17.1,14.7,12.1,12.3,9.2,8.8,12.4,11.5,12.0,14.6,16.3,15.2,17.1,18.4,19.0
1809,5511,德昌,5511-德昌-20,40.2,16.7,24.6,32.9,26.6,31.2,27.9,25.3,22.5,19.9,16.3,16.9,18.0,17.1,15.9,15.2,20.1,18.4,19.0
1701,5234,達興材料,5234-達興材料-14,,,,,,57.3,45.0,15.6,1.9,6.1,17.4,21.8,18.7,16.2,21.5,10.5,13.6,18.2,13.0
2846,9945,潤泰新,9945-潤泰新-20,96.6,36.0,56.8,48.2,28.2,35.2,29.8,24.8,20.8,16.8,15.4,17.3,16.2,17.4,21.9,20.6,18.3,18.1,19.0
720,2330,台積電,2330-台積電-20,6.3,-5.2,7.2,8.4,8.6,11.5,11.2,13.5,12.3,13.7,14.8,13.4,15.8,18.3,18.1,14.7,15.5,18.1,19.0
2570,8069,元太,8069-元太-20,80.0,4.3,59.7,34.4,19.9,8.5,3.1,1.4,1.9,5.5,11.9,7.1,7.2,9.7,17.5,16.8,17.1,18.1,19.0
2622,8210,勤誠,8210-勤誠-19,-22.5,-41.3,8.1,23.7,10.3,11.4,10.4,15.5,11.6,12.7,9.9,9.5,14.8,13.7,12.5,11.2,19.4,18.1,18.0
1578,4728,雙美,4728-雙美-14,,,,,,11.9,9.2,-3.2,0.8,6.2,-2.1,6.2,12.5,11.1,10.2,14.4,16.8,18.0,13.0
1658,4974,亞泰,4974-亞泰-15,,,,,-3.6,17.0,29.9,18.4,13.4,10.4,14.7,10.2,15.2,12.5,12.1,11.8,12.7,17.9,14.0
756,2379,瑞昱,2379-瑞昱-20,84.7,-0.6,31.9,17.9,6.9,11.5,14.2,16.3,11.7,13.4,13.0,14.4,17.5,20.3,21.9,15.7,17.9,17.9,19.0
1057,3029,零壹,3029-零壹-20,-7.9,-14.7,26.3,24.6,7.6,5.7,9.4,6.7,7.8,7.4,8.1,7.6,10.6,12.0,12.3,11.3,13.9,17.8,19.0
1320,3587,閎康,3587-閎康-17,,,8.6,12.7,2.0,28.0,29.1,21.1,17.4,19.9,17.3,11.8,14.3,13.5,17.9,16.3,18.5,17.8,16.0
832,2480,敦陽科,2480-敦陽科-20,12.1,-4.0,31.3,24.0,15.1,14.8,16.0,13.5,11.0,11.7,13.4,13.3,15.3,16.2,16.0,16.4,17.8,17.7,19.0
1195,3324,雙鴻,3324-雙鴻-20,-43.4,-51.8,-10.3,-3.8,-4.1,-1.7,-4.7,-5.5,2.5,11.4,7.8,9.7,15.3,14.0,12.7,9.9,14.7,17.7,19.0
2017,6223,旺矽,6223-旺矽-20,18.2,-30.7,10.6,12.8,2.7,0.3,2.0,9.8,2.1,5.5,3.2,0.9,4.0,6.3,6.2,5.7,9.5,17.5,19.0
1684,5209,新鼎,5209-新鼎-20,25.8,6.1,29.0,41.1,25.6,25.5,21.1,18.8,13.7,12.9,13.1,11.3,11.9,13.6,13.3,13.9,18.2,17.5,19.0
1240,3450,聯鈞,3450-聯鈞-20,-15.7,-32.5,11.9,21.2,6.3,9.4,14.8,17.1,19.6,19.8,20.0,13.1,12.5,11.8,9.6,6.3,9.1,17.5,19.0
1984,6187,萬潤,6187-萬潤-20,-4.7,-19.0,19.8,12.2,-8.0,-6.4,3.6,7.2,7.1,8.7,9.9,5.9,5.7,10.9,12.3,7.2,11.9,17.4,19.0
1631,4931,新盛力,4931-新盛力-7,,,,,,,,,,,,,0.0,-12.3,-10.1,11.8,1.7,17.4,6.0
2811,8996,高力,8996-高力-19,-26.2,-20.9,33.4,14.2,5.8,9.8,16.4,13.2,9.6,11.8,7.4,6.4,9.0,8.8,9.4,16.2,16.2,17.4,18.0
1147,3217,優群,3217-優群-20,27.3,-10.4,16.8,11.0,-3.3,-0.8,2.3,6.6,3.2,7.9,11.3,10.2,16.3,19.0,19.4,14.8,18.9,17.3,19.0
741,2360,致茂,2360-致茂-20,57.7,-4.6,35.1,32.5,19.6,18.2,15.3,17.0,12.5,13.0,19.2,14.8,15.4,15.3,15.5,13.9,14.2,17.3,19.0
2297,6703,軒郁,6703-軒郁-6,,,,,,,,,,,,,,2.2,-10.6,3.6,39.3,17.2,5.0
1334,3611,鼎翰,3611-鼎翰-18,,5.8,83.8,52.4,41.3,32.4,49.1,43.9,42.9,33.2,28.7,24.2,25.2,21.1,19.8,18.3,19.6,17.2,17.0
595,1808,潤隆,1808-潤隆-20,22.3,1.3,14.3,23.7,19.9,20.4,18.0,14.5,12.3,14.8,17.1,18.1,18.7,18.4,16.8,18.3,19.5,17.2,19.0
533,1707,葡萄王,1707-葡萄王-20,53.8,24.5,58.9,42.6,30.0,40.1,45.2,36.7,37.4,33.6,31.5,27.9,25.9,23.2,20.9,20.0,18.3,17.2,19.0
754,2376,技嘉,2376-技嘉-20,-13.2,-23.5,7.1,6.5,0.3,4.3,8.7,8.7,8.2,9.5,11.0,8.0,9.3,12.1,16.3,13.2,18.1,17.1,19.0
208,00850,元大臺灣ESG永續,00850-元大臺灣ESG永續-7,,,,,,,,,,,,,17.2,22.4,23.0,10.6,13.8,17.0,6.0
748,2368,金像電,2368-金像電-20,35.3,-22.4,0.1,-0.2,-10.5,-10.2,-6.5,4.5,-2.0,-1.4,-1.1,0.7,2.4,10.0,12.1,12.3,17.4,17.0,19.0
755,2377,微星,2377-微星-20,30.3,1.0,10.2,3.9,-1.1,1.2,8.9,12.5,15.4,18.9,17.9,16.5,16.6,18.8,19.0,16.1,18.7,17.0,19.0
1389,3706,神達,3706-神達-13,,,,,,,39.8,6.9,7.3,13.8,15.2,8.6,12.5,12.8,13.6,10.6,13.8,17.0,12.0
1051,3023,信邦,3023-信邦-20,11.3,-30.1,4.9,4.4,1.6,7.2,12.4,12.6,15.5,15.9,16.6,15.0,17.3,20.5,21.1,19.5,18.9,17.0,19.0
1808,5508,永信建,5508-永信建-20,16.1,-0.0,15.6,10.4,6.8,15.5,20.0,17.6,9.5,6.7,9.7,9.3,9.5,11.0,13.2,11.9,14.9,17.0,19.0
812,2455,全新,2455-全新-20,81.7,-6.9,56.1,37.4,21.8,21.6,17.0,15.2,19.1,17.9,22.5,17.2,21.0,19.0,19.5,13.3,17.9,17.0,19.0
2598,8109,博大,8109-博大-20,69.9,30.1,36.6,36.5,28.9,24.2,28.7,27.8,23.8,22.5,22.1,21.5,21.1,18.7,18.3,18.2,18.1,16.9,19.0
1735,5289,宜鼎,5289-宜鼎-13,,,,,,,19.2,34.4,24.0,17.4,23.5,16.3,23.5,20.1,20.5,17.8,22.1,16.8,12.0
843,2493,揚博,2493-揚博-20,-2.4,-13.7,20.8,10.9,12.3,16.2,13.2,14.8,10.5,12.8,12.0,10.7,11.3,12.4,12.8,13.0,16.3,16.8,19.0
2180,6561,是方,6561-是方-8,,,,,,,,,,,,-24.1,8.0,24.2,11.0,9.1,12.2,16.6,7.0
482,1537,廣隆,1537-廣隆-20,65.7,2.6,34.3,36.3,23.0,25.5,27.4,27.0,28.3,27.6,24.3,22.7,21.4,19.7,18.5,17.4,16.4,16.6,19.0
973,2850,新產,2850-新產-20,30.0,-0.2,17.6,27.9,10.2,14.1,15.3,14.1,12.0,12.6,12.5,13.4,13.6,12.8,13.5,13.1,14.5,16.6,19.0
2207,6590,普鴻,6590-普鴻-8,,,,,,,,,,,,-15.4,2.7,22.1,23.5,16.3,22.6,16.6,7.0
1617,4907,富宇,4907-富宇-20,67.6,40.9,19.7,5.8,-0.1,8.6,16.4,14.3,11.1,9.0,20.0,13.8,14.7,13.7,12.2,11.9,14.0,16.5,19.0
1778,5410,國眾,5410-國眾-20,120.6,9.8,85.9,47.6,23.4,21.9,21.3,19.0,16.4,17.1,16.1,16.3,17.7,17.3,17.6,18.5,17.9,16.5,19.0
1920,6112,邁達特,6112-邁達特-20,35.8,5.8,38.2,23.9,21.8,25.2,24.7,25.5,19.2,18.2,18.2,17.9,18.5,19.5,17.6,15.5,19.5,16.5,19.0
864,2535,達欣工,2535-達欣工-20,49.6,21.4,33.6,27.8,21.0,21.6,24.4,18.0,12.8,14.9,13.4,13.5,13.5,14.6,15.4,14.2,16.0,16.5,19.0
1754,5321,美而快,5321-美而快-20,69.8,-19.8,17.4,10.1,-5.0,-0.2,20.3,20.1,18.1,19.2,13.7,19.2,16.6,13.6,21.5,17.2,19.6,16.5,19.0
2820,9911,櫻花,9911-櫻花-20,24.4,1.7,25.7,29.4,15.5,14.6,15.9,15.2,11.8,17.1,17.1,15.7,17.0,16.7,17.8,16.1,16.1,16.4,19.0
1064,3036,文曄,3036-文曄-20,57.1,2.0,24.6,33.6,24.8,20.6,17.8,20.3,16.5,17.9,17.0,14.5,14.3,13.3,16.9,14.9,17.7,16.4,19.0
1082,3056,富華新,3056-富華新-20,25.5,-20.5,42.0,26.2,18.1,21.7,24.9,15.4,10.6,14.3,14.5,12.4,17.2,18.2,17.7,14.9,16.3,16.3,19.0
52,00662,富邦NASDAQ,00662-富邦NASDAQ-10,,,,,,,,,,9.2,14.5,9.3,13.1,17.3,18.3,10.2,14.6,16.3,9.0
1503,4506,崇友,4506-崇友-20,18.6,-1.1,10.8,13.6,10.5,12.6,16.3,12.1,13.4,16.2,19.4,18.2,17.5,15.9,16.0,15.5,15.6,16.2,19.0
738,2357,華碩,2357-華碩-20,7.2,-21.2,-2.8,32.4,25.7,29.4,22.7,23.8,18.6,16.7,16.0,12.1,12.6,12.6,15.0,12.5,15.6,16.2,19.0
2054,6274,台燿,6274-台燿-20,-2.8,-29.9,1.1,4.0,-5.7,2.9,8.9,10.0,9.4,12.0,18.8,17.9,20.8,17.7,15.4,10.2,15.3,16.2,19.0
1007,2904,匯僑,2904-匯僑-20,84.1,42.4,66.5,52.6,49.4,49.0,44.1,39.5,35.0,31.2,26.2,24.2,24.3,23.8,22.1,18.9,17.5,16.2,19.0
2258,6655,科定,6655-科定-8,,,,,,,,,,,,-14.6,-14.0,-1.0,16.7,24.7,18.0,16.1,7.0
425,1442,名軒,1442-名軒-20,50.8,-2.5,15.0,22.5,17.1,16.9,20.4,13.7,9.3,9.9,10.7,8.8,10.3,9.1,10.2,12.4,12.4,16.0,19.0
2354,6768,志強-KY,6768-志強-KY-5,,,,,,,,,,,,,,,-12.0,-1.3,-0.8,16.0,4.0
1875,5871,中租-KY,5871-中租-KY-15,,,,,14.8,69.9,54.6,41.8,25.0,20.3,25.3,23.9,26.3,26.3,29.3,25.0,21.9,16.0,14.0
1654,4968,立積,4968-立積-11,,,,,,,,,9.4,-8.8,9.2,-6.7,23.2,36.4,29.3,11.9,16.4,16.0,10.0
1097,3086,華義,3086-華義-20,1.0,11.7,15.3,23.6,9.7,4.6,3.3,1.9,1.3,-3.1,3.7,3.3,-3.3,11.2,15.1,13.1,15.5,15.8,19.0
1404,4107,邦特,4107-邦特-20,86.1,36.4,61.2,43.2,17.1,24.6,30.7,27.4,32.4,27.9,23.4,21.0,22.2,20.7,18.2,17.0,15.9,15.8,19.0
209,00851,台新全球AI,00851-台新全球AI-7,,,,,,,,,,,,,4.4,18.4,21.0,1.7,12.5,15.8,6.0
1781,5432,新門,5432-新門-20,62.1,-16.2,-1.5,-2.8,9.4,12.2,11.3,8.7,7.5,9.7,9.2,11.8,6.9,6.2,9.5,7.2,15.8,15.6,19.0
1418,4126,太醫,4126-太醫-20,51.9,44.9,68.9,66.9,44.0,40.0,37.3,27.4,25.4,24.0,21.6,18.1,17.4,16.6,16.2,15.4,15.5,15.5,19.0
1310,3570,大塚,3570-大塚-18,,-5.6,22.7,19.5,17.9,13.7,40.3,26.4,14.0,11.7,9.6,8.7,14.2,12.2,11.6,11.8,15.2,15.5,17.0
2025,6231,系微,6231-系微-20,47.5,13.1,39.3,25.4,26.0,12.7,4.5,4.2,-3.2,-2.8,3.5,0.8,5.5,8.7,6.4,6.2,12.9,15.5,19.0
355,1232,大統益,1232-大統益-20,42.0,21.1,30.5,31.8,25.1,23.2,22.9,22.1,20.9,20.4,19.5,18.8,19.2,19.2,18.8,16.8,16.0,15.4,19.0
454,1477,聚陽,1477-聚陽-20,40.6,-11.6,16.9,17.2,15.3,17.9,24.4,22.3,24.2,15.6,14.5,16.1,14.7,15.2,16.0,14.8,16.7,15.4,19.0
1208,3363,上詮,3363-上詮-15,,,,,-59.2,-29.4,-22.7,-7.8,-9.6,-7.4,-4.6,-4.2,-1.2,-2.8,-0.8,-3.4,5.8,15.3,14.0
