id,name,id_name,s2006e2007bao,s2006e2008bao,s2006e2009bao,s2006e2010bao,s2006e2011bao,s2006e2012bao,s2006e2013bao,s2006e2014bao,s2006e2015bao,s2006e2016bao,s2006e2017bao,s2006e2018bao,s2006e2019bao,s2006e2020bao,s2006e2021bao
0050,元大台灣50,0050-元大台灣50,15.6,-9.8,6.9,7.9,3.2,4.3,5.0,6.1,4.6,5.8,6.6,5.5,7.2,8.5,8.6
0051,元大中型100,0051-元大中型100,12.7,-15.8,4.8,6.4,0.4,2.0,3.8,3.7,1.5,1.9,3.7,2.7,4.3,5.7,5.8
0052,富邦科技,0052-富邦科技,9.0,-15.6,3.2,3.5,-0.7,1.3,2.2,4.7,3.1,4.3,6.0,4.9,7.6,10.1,10.1
0053,元大電子,0053-元大電子,-10.8,-32.0,-0.9,0.1,-4.6,-1.6,-0.0,2.6,1.4,2.8,4.5,3.0,5.6,7.6,8.0
0054,元大台商50,0054-元大台商50,-4.1,-33.4,-1.4,0.6,-3.7,-1.2,0.8,1.6,0.5,1.3,2.6,0.8,2.8,3.8,4.2
0055,元大MSCI金融,0055-元大MSCI金融,-19.9,-27.4,-5.6,-0.7,-6.0,-3.2,0.8,1.4,0.2,1.6,2.8,2.9,4.0,3.5,3.8
0056,元大高股息,0056-元大高股息,3.5,-26.8,2.0,5.9,1.5,2.5,2.8,3.4,2.3,3.1,3.8,3.5,5.2,5.3,5.5
0057,富邦摩台,0057-富邦摩台,0,-44.7,0.4,4.1,-1.9,0.7,2.7,4.4,2.4,3.8,4.9,3.7,5.9,7.5,7.8
0058,富邦發達,0058-富邦發達,0,-42.5,2.7,8.4,1.8,3.2,4.4,4.5,2.8,3.9,5.0,3.2,4.4,4.4,4.4
0059,富邦金融,0059-富邦金融,0,-44.0,-4.8,1.7,-4.9,-2.6,1.9,2.3,1.0,2.2,3.5,3.3,4.6,4.6,4.6
0061,元大寶滬深,0061-元大寶滬深,0,0,2.9,0.8,-9.2,-6.1,-7.4,-1.3,0.0,-1.7,0.6,-2.3,0.2,2.3,2.0
006201,元大富櫃50,006201-元大富櫃50,0,0,0,0,-37.0,-16.3,-5.6,-2.8,-4.2,-3.7,0.9,-3.0,0.5,2.7,3.1
006203,元大MSCI台灣,006203-元大MSCI台灣,0,0,0,0,-18.8,-3.6,1.5,4.8,2.0,3.9,6.0,4.1,7.1,9.0,9.4
006204,永豐臺灣加權,006204-永豐臺灣加權,0,0,0,0,-0.8,5.4,8.0,8.0,4.4,6.6,8.1,5.9,8.1,9.4,9.3
006205,富邦上証,006205-富邦上証,0,0,0,0,-8.9,-0.6,0.0,11.7,9.1,4.3,6.0,2.0,4.3,5.7,5.2
006206,元大上證50,006206-元大上證50,0,0,0,0,0,3.0,-3.8,16.6,10.2,5.1,7.9,3.2,5.9,7.0,6.1
006207,FH滬深,006207-FH滬深,0,0,0,0,0,3.1,-0.4,16.3,13.5,6.3,8.4,2.6,5.9,7.9,6.5
006208,富邦台50,006208-富邦台50,0,0,0,0,0,11.3,10.1,12.3,7.1,8.8,10.5,7.7,10.4,12.4,12.2
00625K,富邦上証+R,00625K-富邦上証+R,0,0,0,0,0,0,0,0,0,3.9,11.3,-1.1,6.5,8.9,6.8
00631L,元大台灣50正2,00631L-元大台灣50正2,0,0,0,0,0,0,0,9.8,-4.5,8.5,15.3,9.2,17.4,23.1,23.8
00632R,元大台灣50反1,00632R-元大台灣50反1,0,0,0,0,0,0,0,-4.5,0.0,-6.9,-9.5,-7.3,-10.1,-12.8,-11.7
00633L,富邦上証正2,00633L-富邦上証正2,0,0,0,0,0,0,0,14.8,-4.6,-5.1,7.0,-6.0,4.5,9.2,7.0
00634R,富邦上証反1,00634R-富邦上証反1,0,0,0,0,0,0,0,-7.1,-14.3,-11.5,-15.0,-8.5,-12.3,-14.5,-12.0
00635U,元大S&P黃金,00635U-元大S&P黃金,0,0,0,0,0,0,0,0,-10.4,-2.4,0.7,-0.8,2.1,4.4,2.2
00636,國泰中國A50,00636-國泰中國A50,0,0,0,0,0,0,0,0,-9.9,-9.8,2.4,-4.4,2.3,5.7,4.6
00636K,國泰中國A50+U,00636K-國泰中國A50+U,0,0,0,0,0,0,0,0,0,0,6.9,-10.2,3.7,10.0,7.0
00637L,元大滬深300正2,00637L-元大滬深300正2,0,0,0,0,0,0,0,0,-36.8,-21.6,-0.7,-13.7,0.5,6.9,4.8
00638R,元大滬深300反1,00638R-元大滬深300反1,0,0,0,0,0,0,0,0,-5.1,-4.0,-10.8,-3.7,-10.0,-13.4,-10.7
00639,富邦深100,00639-富邦深100,0,0,0,0,0,0,0,0,-23.8,-22.3,-8.4,-15.2,-4.7,2.9,2.0
00640L,富邦日本正2,00640L-富邦日本正2,0,0,0,0,0,0,0,0,7.5,-4.3,9.8,-3.7,2.8,4.0,5.7
00641R,富邦日本反1,00641R-富邦日本反1,0,0,0,0,0,0,0,0,-5.5,-6.0,-10.5,-4.5,-6.9,-7.9,-7.7
00642U,元大S&P石油,00642U-元大S&P石油,0,0,0,0,0,0,0,0,-16.7,0.8,-2.2,-6.9,-1.4,-13.0,-6.9
00643,群益深証中小,00643-群益深証中小,0,0,0,0,0,0,0,0,1.7,-14.9,-5.8,-15.1,-6.3,0.8,-0.0
00643K,群益深証中小+R,00643K-群益深証中小+R,0,0,0,0,0,0,0,0,0,-9.5,4.5,-12.7,-2.5,5.1,3.8
00645,富邦日本,00645-富邦日本,0,0,0,0,0,0,0,0,-1.7,-1.7,4.7,-1.1,1.8,2.8,3.5
00646,元大S&P500,00646-元大S&P500,0,0,0,0,0,0,0,0,2.3,4.9,6.6,4.0,8.1,8.0,7.7
00647L,元大S&P500正2,00647L-元大S&P500正2,0,0,0,0,0,0,0,0,4.5,10.3,17.6,6.7,15.9,15.8,14.7
00648R,元大S&P500反1,00648R-元大S&P500反1,0,0,0,0,0,0,0,0,-2.2,-7.5,-11.6,-7.3,-10.7,-12.5,-10.7
00650L,FH香港正2,00650L-FH香港正2,0,0,0,0,0,0,0,0,0,33.6,55.0,19.0,18.7,11.6,10.4
00651R,FH香港反1,00651R-FH香港反1,0,0,0,0,0,0,0,0,0,-19.6,-24.3,-13.7,-13.1,-11.2,-9.6
00652,富邦印度,00652-富邦印度,0,0,0,0,0,0,0,0,0,-0.1,9.1,5.0,5.0,3.8,4.2
00653L,富邦印度正2,00653L-富邦印度正2,0,0,0,0,0,0,0,0,0,1.9,22.2,12.5,10.8,9.9,8.6
00654R,富邦印度反1,00654R-富邦印度反1,0,0,0,0,0,0,0,0,0,-5.4,-13.3,-9.1,-9.3,-11.2,-9.6
00655L,國泰中國A50正2,00655L-國泰中國A50正2,0,0,0,0,0,0,0,0,0,12.3,34.1,-0.9,14.6,20.1,14.5
00656R,國泰中國A50反1,00656R-國泰中國A50反1,0,0,0,0,0,0,0,0,0,-10.0,-18.2,-6.7,-13.6,-16.6,-13.0
00657,國泰日經225,00657-國泰日經225,0,0,0,0,0,0,0,0,0,16.4,16.7,6.8,9.1,10.3,9.3
00657K,國泰日經225+U,00657K-國泰日經225+U,0,0,0,0,0,0,0,0,0,0,5.5,-4.2,3.8,8.5,7.2
00658L,國泰日本正2,00658L-國泰日本正2,0,0,0,0,0,0,0,0,0,29.8,34.8,10.0,15.7,11.1,11.1
00659R,國泰日本反1,00659R-國泰日本反1,0,0,0,0,0,0,0,0,0,-18.5,-18.8,-10.2,-12.2,-9.1,-9.1
00660,元大歐洲50,00660-元大歐洲50,0,0,0,0,0,0,0,0,0,14.6,12.8,2.7,8.2,6.0,5.9
00661,元大日經225,00661-元大日經225,0,0,0,0,0,0,0,0,0,19.1,19.2,6.7,9.5,10.2,9.7
00662,富邦NASDAQ,00662-富邦NASDAQ,0,0,0,0,0,0,0,0,0,9.2,14.5,9.3,13.1,17.3,14.5
00663L,國泰臺灣加權正2,00663L-國泰臺灣加權正2,0,0,0,0,0,0,0,0,0,15.6,27.3,12.0,23.0,30.3,28.3
00664R,國泰臺灣加權反1,00664R-國泰臺灣加權反1,0,0,0,0,0,0,0,0,0,-8.9,-13.2,-8.2,-12.3,-15.7,-14.2
00665L,富邦琤肭磪囓2,00665L-富邦琤肭磪囓2,0,0,0,0,0,0,0,0,0,4.8,25.4,3.9,7.6,2.9,2.9
00666R,富邦琤肭磪齯1,00666R-富邦琤肭磪齯1,0,0,0,0,0,0,0,0,0,-4.2,-16.4,-8.3,-9.7,-8.7,-7.6
00668,國泰美國道瓊,00668-國泰美國道瓊,0,0,0,0,0,0,0,0,0,11.6,13.4,7.1,10.7,8.3,7.1
00668K,國泰美國道瓊+U,00668K-國泰美國道瓊+U,0,0,0,0,0,0,0,0,0,0,6.0,-0.1,7.8,7.4,7.2
00669R,國泰美國道瓊反1,00669R-國泰美國道瓊反1,0,0,0,0,0,0,0,0,0,-9.1,-16.0,-9.2,-12.1,-12.9,-11.4
00670L,富邦NASDAQ正2,00670L-富邦NASDAQ正2,0,0,0,0,0,0,0,0,0,0,39.2,9.7,28.1,40.1,30.8
00671R,富邦NASDAQ反1,00671R-富邦NASDAQ反1,0,0,0,0,0,0,0,0,0,0,-18.8,-10.7,-17.3,-23.1,-18.0
00672L,元大S&P原油正2,00672L-元大S&P原油正2,0,0,0,0,0,0,0,0,0,1.7,-1.2,-18.0,-3.1,-48.0,-48.0
00673R,元大S&P原油反1,00673R-元大S&P原油反1,0,0,0,0,0,0,0,0,0,-4.1,-7.2,-0.1,-9.4,5.3,0.1
00674R,元大S&P黃金反1,00674R-元大S&P黃金反1,0,0,0,0,0,0,0,0,0,7.8,-2.5,-0.8,-4.8,-8.5,-5.3
00675L,富邦臺灣加權正2,00675L-富邦臺灣加權正2,0,0,0,0,0,0,0,0,0,0.6,19.1,7.3,19.2,27.0,25.9
00676R,富邦臺灣加權反1,00676R-富邦臺灣加權反1,0,0,0,0,0,0,0,0,0,-1.4,-9.9,-6.1,-10.9,-14.6,-13.4
00677U,富邦VIX,00677U-富邦VIX,0,0,0,0,0,0,0,0,0,0.0,-48.7,-19.0,-35.1,-21.9,-23.7
00678,群益NBI生技,00678-群益NBI生技,0,0,0,0,0,0,0,0,0,0,9.1,-0.4,5.9,8.6,6.7
00679B,元大美債20年,00679B-元大美債20年,0,0,0,0,0,0,0,0,0,0,-2.1,-1.9,2.2,3.2,0.1
00680L,元大美債20正2,00680L-元大美債20正2,0,0,0,0,0,0,0,0,0,0,5.5,-2.6,5.6,9.3,1.4
