id,name,id_name_yrs,s2006e2007bao,s2006e2007bah,s2006e2007bal,s2006e2007yrs,s2006e2008bao,s2006e2008bah,s2006e2008bal,s2006e2008yrs,s2006e2009bao,s2006e2009bah,s2006e2009bal,s2006e2009yrs,s2006e2010bao,s2006e2010bah,s2006e2010bal,s2006e2010yrs,s2006e2011bao,s2006e2011bah,s2006e2011bal,s2006e2011yrs,s2006e2012bao,s2006e2012bah,s2006e2012bal,s2006e2012yrs,s2006e2013bao,s2006e2013bah,s2006e2013bal,s2006e2013yrs,s2006e2014bao,s2006e2014bah,s2006e2014bal,s2006e2014yrs,s2006e2015bao,s2006e2015bah,s2006e2015bal,s2006e2015yrs,s2006e2016bao,s2006e2016bah,s2006e2016bal,s2006e2016yrs,s2006e2017bao,s2006e2017bah,s2006e2017bal,s2006e2017yrs,s2006e2018bao,s2006e2018bah,s2006e2018bal,s2006e2018yrs,s2006e2019bao,s2006e2019bah,s2006e2019bal,s2006e2019yrs,s2006e2020bao,s2006e2020bah,s2006e2020bal,s2006e2020yrs,s2006e2021bao,s2006e2021bah,s2006e2021bal,s2006e2021yrs,s2006e2022bao,s2006e2022bah,s2006e2022bal,s2006e2022yrs,s2006e2023bao,s2006e2023bah,s2006e2023bal,s2006e2023yrs,s2006e2024bao,s2006e2024bah,s2006e2024bal,s2006e2024yrs,s2006e2025bao,s2006e2025bah,s2006e2025bal,s2006e2025yrs,s2006e2026bao,s2006e2026bah,s2006e2026bal,s2006e2026yrs
1101,台泥,1101-台泥-21,46.9,44.6,47.8,2,10.0,8.7,12.3,3,14.6,13.3,16.6,4,11.5,10.5,13.2,5,11.3,10.3,12.7,6,11.7,10.8,13.0,7,12.9,12.1,14.0,8,10.9,10.2,11.9,9,5.3,4.6,6.2,10,7.5,6.8,8.3,11,7.3,6.7,8.1,12,7.5,6.9,8.1,13,9.4,8.9,10.1,14,9.3,8.8,9.9,15,9.7,9.3,10.3,16,7.5,7.0,8.0,17,7.2,6.8,7.8,18,6.4,6.0,6.8,19,4.3,3.9,4.8,20,4.1,3.8,4.6,21
1102,亞泥,1102-亞泥-21,75.3,72.3,75.5,2,26.0,24.5,27.3,3,26.8,25.4,27.9,4,20.5,19.5,21.5,5,18.7,17.7,19.5,6,18.4,17.6,19.1,7,16.9,16.2,17.5,8,15.5,14.8,16.0,9,10.3,9.7,10.8,10,9.1,8.6,9.6,11,9.0,8.5,9.4,12,9.9,9.4,10.3,13,12.2,11.8,12.6,14,10.9,10.5,11.3,15,10.7,10.3,11.0,16,9.9,9.5,10.2,17,9.6,9.2,9.9,18,9.0,8.7,9.3,19,8.0,7.6,8.3,20,7.6,7.3,7.9,21
1103,嘉泥,1103-嘉泥-21,28.0,25.6,28.6,2,1.3,-0.3,3.2,3,10.1,8.4,11.9,4,7.3,6.0,8.9,5,0.2,-0.9,1.7,6,3.0,2.0,4.3,7,4.2,3.2,5.3,8,3.1,2.2,4.1,9,-1.0,-1.8,-0.0,10,-1.6,-2.2,-0.7,11,2.3,1.6,3.2,12,2.5,1.8,3.3,13,6.3,5.6,7.1,14,5.0,4.4,5.8,15,5.5,4.9,6.3,16,4.2,3.6,4.9,17,4.6,4.1,5.3,18,3.8,3.3,4.4,19,2.5,2.0,3.1,20,2.2,1.7,2.7,21
1104,環泥,1104-環泥-21,19.0,17.4,19.6,2,15.2,13.4,15.6,3,19.8,18.1,20.3,4,16.9,15.5,17.4,5,8.4,7.3,9.0,6,10.4,9.4,10.9,7,17.2,16.1,17.6,8,14.2,13.3,14.7,9,11.5,10.7,12.0,10,11.6,10.9,12.0,11,10.4,9.7,10.8,12,8.2,7.6,8.5,13,8.1,7.5,8.4,14,9.0,8.4,9.3,15,8.0,7.5,8.3,16,7.9,7.4,8.2,17,9.6,9.1,9.8,18,9.1,8.6,9.4,19,8.8,8.3,9.0,20,8.0,7.6,8.3,21
1108,幸福,1108-幸福-21,16.5,14.6,17.4,2,-2.4,-3.9,-0.8,3,8.6,6.9,10.1,4,4.4,3.1,5.7,5,-3.2,-4.2,-1.9,6,0.6,-0.4,1.8,7,3.4,2.4,4.4,8,5.9,4.8,6.7,9,5.5,4.5,6.3,10,4.6,3.8,5.4,11,3.9,3.1,4.6,12,2.4,1.8,3.1,13,3.2,2.5,3.8,14,5.9,5.2,6.5,15,5.3,4.6,5.9,16,4.5,3.9,5.1,17,6.7,6.1,7.3,18,6.1,5.5,6.6,19,5.9,5.3,6.4,20,5.5,5.0,5.9,21
1109,信大,1109-信大-21,13.2,12.0,13.8,2,-0.8,-1.9,0.4,3,6.9,5.6,7.8,4,5.4,4.4,6.2,5,5.2,4.4,5.9,6,4.9,4.1,5.5,7,6.1,5.4,6.6,8,7.4,6.7,7.9,9,3.7,3.1,4.2,10,3.4,2.8,3.8,11,5.4,4.8,5.8,12,5.3,4.8,5.7,13,8.0,7.4,8.4,14,7.7,7.2,8.1,15,7.7,7.2,8.1,16,5.8,5.3,6.2,17,6.6,6.1,6.9,18,6.3,5.8,6.6,19,5.1,4.7,5.4,20,4.8,4.4,5.1,21
1110,東泥,1110-東泥-21,36.1,33.9,37.0,2,14.1,12.4,15.5,3,15.8,14.3,17.1,4,16.3,15.0,17.4,5,7.8,6.8,8.8,6,11.7,10.7,12.6,7,13.0,12.1,13.8,8,11.0,10.2,11.7,9,8.9,8.2,9.6,10,8.1,7.5,8.7,11,6.6,6.0,7.1,12,7.1,6.5,7.6,13,6.7,6.2,7.2,14,6.3,5.8,6.8,15,6.6,6.2,7.1,16,5.7,5.3,6.1,17,5.3,4.9,5.7,18,5.5,5.1,5.9,19,4.0,3.6,4.4,20,3.6,3.3,4.0,21
1201,味全,1201-味全-21,40.9,38.1,42.3,2,32.1,30.2,33.5,3,45.2,43.2,46.6,4,30.7,29.3,31.8,5,21.2,20.1,22.2,6,19.7,18.7,20.5,7,22.3,21.4,23.0,8,10.0,9.2,10.7,9,4.9,4.2,5.6,10,4.3,3.7,4.9,11,5.5,4.9,6.0,12,5.3,4.7,5.8,13,5.9,5.3,6.4,14,5.0,4.5,5.5,15,4.7,4.2,5.2,16,3.5,3.1,4.0,17,3.3,2.9,3.7,18,2.8,2.4,3.2,19,1.6,1.2,1.9,20,0.8,0.4,1.2,21
1203,味王,1203-味王-21,40.9,38.0,41.5,2,4.7,3.0,6.1,3,27.3,25.0,28.6,4,22.0,20.3,23.1,5,13.5,12.2,14.5,6,11.9,10.8,12.7,7,13.2,12.1,13.9,8,11.3,10.4,11.9,9,9.9,9.1,10.5,10,9.2,8.5,9.8,11,9.4,8.7,9.9,12,9.1,8.5,9.6,13,8.9,8.3,9.3,14,10.5,10.0,10.9,15,9.1,8.5,9.4,16,9.0,8.5,9.4,17,11.5,11.0,11.8,18,8.8,8.3,9.1,19,8.2,7.8,8.5,20,8.3,7.8,8.6,21
1210,大成,1210-大成-21,95.2,91.4,95.5,2,41.2,39.1,42.0,3,42.7,41.0,43.4,4,31.4,30.1,32.0,5,24.0,22.9,24.5,6,20.4,19.5,20.8,7,17.7,17.0,18.1,8,19.6,18.9,20.0,9,14.3,13.7,14.7,10,16.5,15.9,16.8,11,16.5,16.0,16.9,12,16.0,15.5,16.3,13,17.4,16.9,17.7,14,17.5,17.1,17.8,15,17.1,16.6,17.3,16,15.3,14.9,15.5,17,16.0,15.6,16.2,18,14.4,14.0,14.6,19,13.4,13.0,13.6,20,13.5,13.1,13.7,21
